PublishDate,Score,Anti-Score,FinalScore
2017-12-12,51.0,0.0,51.0
2017-12-13,115.0,0.0,115.0
2017-12-14,183.0,0.0,183.0
2017-12-15,-182.0,0.0,-182.0
2017-12-16,0.0,0.0,0.0
2017-12-17,0.0,0.0,0.0
2017-12-18,143.0,0.0,143.0
2017-12-19,-76.0,0.0,-76.0
2017-12-20,211.0,0.0,211.0
2017-12-21,196.0,12.0,196.0
2017-12-22,322.0,0.0,322.0
2017-12-23,117.0,0.0,117.0
2017-12-24,3.0,8.0,3.0
2017-12-25,6.0,0.0,6.0
2017-12-26,-57.0,0.0,-57.0
2017-12-27,217.0,4.0,217.0
2017-12-28,327.0,0.0,327.0
2017-12-29,1214.0,0.0,1214.0
2017-12-30,150.0,0.0,150.0
2017-12-31,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0
2018-01-02,1660.0,2.0,1660.0
2018-01-03,1350.0,12.0,1350.0
2018-01-04,340.0,0.0,340.0
2018-01-05,193.0,0.0,193.0
2018-01-06,-1.0,1.0,-1.0
2018-01-07,78.0,3.0,78.0
2018-01-08,354.0,0.0,354.0
2018-01-09,22.0,-4.0,22.0
2018-01-10,492.0,2.0,492.0
2018-01-11,193.0,0.0,193.0
2018-01-12,294.0,0.0,294.0
2018-01-13,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0
2018-01-15,465.0,0.0,465.0
2018-01-16,203.0,0.0,203.0
2018-01-17,413.0,0.0,413.0
2018-01-18,956.0,0.0,956.0
2018-01-19,1016.0,12.0,1016.0
2018-01-20,881.0,0.0,881.0
2018-01-21,41.0,4.0,41.0
2018-01-22,1623.0,0.0,1623.0
2018-01-23,446.0,0.0,446.0
2018-01-24,482.0,0.0,482.0
2018-01-25,364.0,0.0,364.0
2018-01-26,509.0,4.0,509.0
2018-01-27,406.0,0.0,406.0
2018-01-28,24.0,20.0,24.0
2018-01-29,622.0,0.0,622.0
2018-01-30,55.0,8.0,55.0
2018-01-31,704.0,0.0,704.0
2018-02-01,462.0,0.0,462.0
2018-02-02,396.0,0.0,396.0
2018-02-03,0.0,0.0,0.0
2018-02-04,0.0,0.0,0.0
2018-02-05,-64.0,0.0,-64.0
2018-02-06,167.0,0.0,167.0
2018-02-07,171.0,0.0,171.0
2018-02-08,155.0,0.0,155.0
2018-02-09,-91.0,0.0,-91.0
2018-02-10,26.0,0.0,26.0
2018-02-11,0.0,0.0,0.0
2018-02-12,367.0,0.0,367.0
2018-02-13,103.0,2.0,103.0
2018-02-14,3.0,0.0,3.0
2018-02-15,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0
2018-02-17,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0
2018-02-19,0.0,0.0,0.0
2018-02-20,-8.0,8.0,-8.0
2018-02-21,110.0,0.0,110.0
2018-02-22,40.0,0.0,40.0
2018-02-23,225.0,0.0,225.0
2018-02-24,0.0,0.0,0.0
2018-02-25,0.0,0.0,0.0
2018-02-26,541.0,0.0,541.0
2018-02-27,36.0,0.0,36.0
2018-02-28,-20.0,20.0,-20.0
2018-03-01,316.0,0.0,316.0
2018-03-02,-80.0,0.0,-80.0
2018-03-03,0.0,0.0,0.0
2018-03-04,-6.0,6.0,-6.0
2018-03-05,181.0,0.0,181.0
2018-03-06,245.0,0.0,245.0
2018-03-07,152.0,0.0,152.0
2018-03-08,375.0,0.0,375.0
2018-03-09,186.0,0.0,186.0
2018-03-10,105.0,1.0,105.0
2018-03-11,16.0,4.0,16.0
2018-03-12,505.0,0.0,505.0
2018-03-13,195.0,0.0,195.0
2018-03-14,251.0,0.0,251.0
2018-03-15,79.0,0.0,79.0
2018-03-16,79.0,0.0,79.0
2018-03-17,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.0
2018-03-19,289.0,0.0,289.0
2018-03-20,142.0,0.0,142.0
2018-03-21,107.0,0.0,107.0
2018-03-22,41.0,0.0,41.0
2018-03-23,-154.0,0.0,-154.0
2018-03-24,0.0,0.0,0.0
2018-03-25,0.0,0.0,0.0
2018-03-26,168.0,0.0,168.0
2018-03-27,395.0,0.0,395.0
2018-03-28,84.0,0.0,84.0
2018-03-29,-74.0,0.0,-74.0
2018-03-30,702.0,0.0,702.0
2018-03-31,172.0,0.0,172.0
2018-04-01,0.0,0.0,0.0
2018-04-02,206.0,0.0,206.0
2018-04-03,174.0,12.0,174.0
2018-04-04,88.0,0.0,88.0
2018-04-05,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0
2018-04-07,0.0,0.0,0.0
2018-04-08,45.0,0.0,45.0
2018-04-09,52.0,0.0,52.0
2018-04-10,402.0,0.0,402.0
2018-04-11,203.0,0.0,203.0
2018-04-12,-14.0,0.0,-14.0
2018-04-13,161.0,0.0,161.0
2018-04-14,96.0,0.0,96.0
2018-04-15,0.0,0.0,0.0
2018-04-16,263.0,-1.0,263.0
2018-04-17,82.0,0.0,82.0
2018-04-18,157.0,0.0,157.0
2018-04-19,262.0,0.0,262.0
2018-04-20,-84.0,0.0,-84.0
2018-04-21,-35.0,0.0,-35.0
2018-04-22,0.0,0.0,0.0
2018-04-23,-75.0,0.0,-75.0
2018-04-24,-20.0,0.0,-20.0
2018-04-25,-68.0,0.0,-68.0
2018-04-26,25.0,26.0,25.0
2018-04-27,230.0,0.0,230.0
2018-04-28,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-05-02,672.0,0.0,672.0
2018-05-03,60.0,0.0,60.0
2018-05-04,270.0,0.0,270.0
2018-05-05,0.0,0.0,0.0
2018-05-06,-7.0,7.0,-7.0
2018-05-07,250.0,10.0,250.0
2018-05-08,423.0,0.0,423.0
2018-05-09,126.0,2.0,126.0
2018-05-10,294.0,0.0,294.0
2018-05-11,204.0,0.0,204.0
2018-05-12,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0
2018-05-14,243.0,0.0,243.0
