PublishDate,Score
2019-09-25,-166
2019-09-26,608
2019-09-27,871
2019-09-28,594
2019-09-29,334
2019-09-30,0
2019-10-01,2550
2019-10-02,1092
2019-10-03,276
2019-10-04,670
2019-10-05,280
2019-10-06,0
2019-10-07,502
2019-10-08,1262
2019-10-09,516
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,433
2019-10-14,646
2019-10-15,1188
2019-10-16,1253
2019-10-17,1149
2019-10-18,915
2019-10-19,0
2019-10-20,45
2019-10-21,1041
2019-10-22,677
2019-10-23,257
2019-10-24,346
2019-10-25,238
2019-10-26,5
2019-10-27,126
2019-10-28,1143
2019-10-29,1287
2019-10-30,702
2019-10-31,1224
2019-11-01,760
2019-11-02,1372
2019-11-03,102
2019-11-04,2644
2019-11-05,1020
2019-11-06,954
2019-11-07,261
2019-11-08,468
2019-11-09,175
2019-11-10,110
2019-11-11,-8
2019-11-12,419
2019-11-13,9
2019-11-14,-1
2019-11-15,304
2019-11-16,0
2019-11-17,0
2019-11-18,584
2019-11-19,882
2019-11-20,243
2019-11-21,-77
2019-11-22,284
2019-11-23,258
2019-11-24,10
2019-11-25,665
2019-11-26,268
2019-11-27,619
2019-11-28,322
2019-11-29,544
2019-11-30,0
2019-12-01,0
2019-12-02,1182
2019-12-03,82
2019-12-04,616
2019-12-05,788
2019-12-06,626
2019-12-07,243
2019-12-08,0
2019-12-09,1074
2019-12-10,363
2019-12-11,1849
2019-12-12,1407
2019-12-13,1786
2019-12-14,20
2019-12-15,345
2019-12-16,975
2019-12-17,1017
2019-12-18,669
2019-12-19,330
2019-12-20,78
2019-12-21,0
2019-12-22,104
2019-12-23,574
2019-12-24,306
2019-12-25,212
2019-12-26,148
2019-12-27,210
2019-12-28,60
2019-12-29,204
2019-12-30,229
2019-12-31,250
2020-01-01,246
2020-01-02,2138
2020-01-03,1224
2020-01-04,0
2020-01-05,0
2020-01-06,186
2020-01-07,108
2020-01-08,253
2020-01-09,1035
2020-01-10,493
2020-01-11,546
2020-01-12,207
2020-01-13,412
2020-01-14,1183
2020-01-15,392
2020-01-16,1029
2020-01-17,834
2020-01-18,552
2020-01-19,0
2020-01-20,730
2020-01-21,52
2020-01-22,90
2020-01-23,0
2020-01-24,0
2020-01-25,185
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,59
2020-01-30,253
2020-01-31,384
2020-02-01,38
2020-02-02,0
2020-02-03,112
2020-02-04,1226
2020-02-05,524
2020-02-06,292
2020-02-07,-60
2020-02-08,0
2020-02-09,0
2020-02-10,466
2020-02-11,960
2020-02-12,833
2020-02-13,405
2020-02-14,36
2020-02-15,252
2020-02-16,0
2020-02-17,348
2020-02-18,-300
2020-02-19,802
2020-02-20,452
2020-02-21,83
2020-02-22,140
2020-02-23,0
2020-02-24,9
2020-02-25,366
2020-02-26,-298
2020-02-27,-44
2020-02-28,122
2020-02-29,0
2020-03-01,116
2020-03-02,102
2020-03-03,998
2020-03-04,1220
2020-03-05,418
2020-03-06,-130
2020-03-07,125
2020-03-08,0
2020-03-09,-17
2020-03-10,487
2020-03-11,218
2020-03-12,27
2020-03-13,24
2020-03-14,0
2020-03-15,0
2020-03-16,-34
2020-03-17,41
2020-03-18,-110
2020-03-19,-108
2020-03-20,217
2020-03-21,0
2020-03-22,0
2020-03-23,149
2020-03-24,665
2020-03-25,1210
2020-03-26,166
2020-03-27,150
2020-03-28,0
2020-03-29,0
2020-03-30,234
2020-03-31,958
2020-04-01,324
2020-04-02,0
2020-04-03,0
