,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
587,2019-05-30,2330,40375328,9292745636,230.0,231.5,229.0,231.0,1.5,8772
588,2019-05-31,2330,49163217,11559578381,232.0,237.5,231.0,235.5,4.5,14365
589,2019-06-03,2330,36687092,8651389851,235.5,238.5,232.0,238.0,2.5,8857
590,2019-06-04,2330,24443428,5745045809,237.5,238.0,233.0,233.0,-5.0,11779
591,2019-06-05,2330,35901584,8461930934,238.0,238.0,234.0,235.0,2.0,12064
592,2019-06-06,2330,34651731,8008768323,231.5,232.0,229.5,232.0,-3.0,14723
593,2019-06-10,2330,35521888,8442986620,237.5,240.0,234.5,240.0,8.0,15588
594,2019-06-11,2330,34691670,8448805962,240.0,246.0,239.0,244.5,4.5,13157
595,2019-06-12,2330,30409556,7469805086,244.5,247.5,243.0,246.0,1.5,11457
596,2019-06-13,2330,33731724,8136137708,242.5,244.0,240.0,240.0,-6.0,13552
597,2019-06-14,2330,35403556,8396819832,238.5,239.5,236.0,236.0,-4.0,14911
598,2019-06-17,2330,51692012,12043369475,231.5,235.0,230.5,233.0,-3.0,20943
599,2019-06-18,2330,28798087,6758454612,234.0,235.5,233.0,235.5,2.5,9681
600,2019-06-19,2330,50234372,12181979568,242.5,244.0,240.5,244.0,8.5,20528
601,2019-06-20,2330,39717291,9697726719,242.0,245.5,241.0,245.0,1.0,13879
602,2019-06-21,2330,62136304,15398139830,248.0,248.5,246.0,248.5,3.5,19049
603,2019-06-24,2330,43460507,10476936660,241.0,242.0,240.0,241.0,0.0,17780
604,2019-06-25,2330,29735283,7118002390,241.0,241.5,237.0,238.5,-2.5,11130
605,2019-06-26,2330,28770041,6757991717,235.0,236.5,234.0,234.5,-4.0,13535
606,2019-06-27,2330,42007834,10063332494,236.0,241.5,236.0,240.5,6.0,14983
607,2019-06-28,2330,28085212,6715488371,241.5,241.5,238.0,239.0,-1.5,8987
608,2019-07-01,2330,66370875,16445222750,245.5,250.0,245.0,248.5,9.5,29551
609,2019-07-02,2330,26832202,6671951743,249.5,250.0,247.5,249.0,0.5,12531
610,2019-07-03,2330,29549774,7190777082,244.0,245.0,242.0,242.5,-6.5,16033
611,2019-07-04,2330,18691240,4561556160,244.5,245.0,242.5,244.0,1.5,8565
612,2019-07-05,2330,27317074,6624379927,244.5,245.0,241.5,243.0,-1.0,9013
613,2019-07-08,2330,29190909,7057462187,240.0,244.5,240.0,242.5,-0.5,10552
614,2019-07-09,2330,16538987,3998096596,241.5,243.0,240.5,242.0,-0.5,6486
615,2019-07-10,2330,23812131,5839691357,243.0,247.0,243.0,247.0,5.0,12366
616,2019-07-11,2330,31296289,7809358257,250.0,250.0,247.5,250.0,3.0,14360
617,2019-07-12,2330,23868432,5984689000,252.0,252.0,249.5,250.5,0.5,8363
618,2019-07-15,2330,34264300,8663129910,251.0,254.5,249.5,254.5,4.0,12174
619,2019-07-16,2330,26141249,6678755679,254.0,256.5,253.5,256.0,1.5,8994
620,2019-07-17,2330,34346648,8686815824,254.0,254.0,251.0,252.0,-4.0,11106
621,2019-07-18,2330,20908575,5300082470,252.0,254.5,251.5,254.0,2.0,8245
622,2019-07-19,2330,59879798,15573278932,259.5,261.0,259.0,259.0,5.0,21827
623,2019-07-22,2330,31863639,8385222407,263.0,264.0,262.0,264.0,5.0,13424
624,2019-07-23,2330,29273223,7734089131,265.5,266.5,262.5,264.0,0.0,12791
625,2019-07-24,2330,24511039,6484708226,266.5,266.5,263.0,265.0,1.0,10617
626,2019-07-25,2330,30698545,8091922380,264.0,265.0,261.5,265.0,0.0,10643
627,2019-07-26,2330,20768071,5434082968,261.0,262.5,261.0,261.0,-4.0,8850
628,2019-07-29,2330,18473320,4822762518,260.0,262.0,259.5,261.0,0.0,6681
629,2019-07-30,2330,22895612,5975389270,262.5,263.0,260.0,260.0,-1.0,7191
630,2019-07-31,2330,36365601,9413416604,260.0,260.0,257.0,259.5,-0.5,10468
631,2019-08-01,2330,30107526,7722031382,257.5,257.5,255.5,256.5,-3.0,11372
632,2019-08-02,2330,54165644,13627068452,252.0,253.5,250.5,251.5,-5.0,18096
633,2019-08-05,2330,52835721,13092403583,251.0,252.0,245.5,246.5,-5.0,20136
634,2019-08-06,2330,58916879,14440787992,240.0,250.0,240.0,248.5,2.0,22358
635,2019-08-07,2330,29435460,7305272500,250.0,250.5,246.5,248.0,-0.5,11208
636,2019-08-08,2330,30140266,7599200564,248.0,254.0,248.0,253.5,5.5,11228
637,2019-08-12,2330,24732603,6242935989,254.5,254.5,251.0,251.0,-2.5,8415
638,2019-08-13,2330,25045107,6204239476,249.0,249.5,246.5,246.5,-4.5,11377
639,2019-08-14,2330,36336703,9142333535,252.5,254.0,249.5,249.5,3.0,13609
640,2019-08-15,2330,28277412,6994442633,247.0,248.5,246.0,248.0,-1.5,10852
641,2019-08-16,2330,25696715,6420744887,249.5,252.0,248.0,250.0,2.0,8994
642,2019-08-19,2330,25098514,6326683127,251.5,253.0,250.5,252.0,2.0,9398
643,2019-08-20,2330,20620494,5233263533,254.0,254.5,252.5,254.5,2.5,8214
644,2019-08-21,2330,20269296,5152545480,254.5,255.0,253.0,254.5,0.0,7383
645,2019-08-22,2330,22136840,5659296700,257.0,257.5,254.0,254.0,-0.5,8794
