CMDLINE C:\Users\Vivian\anaconda3\python.exe .\package\Step-1_ANN_Two.py
MEM 923.140625 1655278947.5080
MEM 923.140625 1655278947.6181
MEM 923.140625 1655278947.7277
MEM 923.394531 1655278947.8362
MEM 923.394531 1655278947.9473
MEM 923.394531 1655278948.0565
MEM 923.394531 1655278948.1647
MEM 923.394531 1655278948.2725
MEM 923.394531 1655278948.3830
MEM 923.394531 1655278948.4925
MEM 923.394531 1655278948.6029
MEM 923.394531 1655278948.7110
MEM 923.394531 1655278948.8202
MEM 923.394531 1655278948.9298
MEM 923.394531 1655278949.0402
MEM 923.394531 1655278949.1483
MEM 923.394531 1655278949.2566
MEM 923.394531 1655278949.3668
MEM 923.394531 1655278949.4757
MEM 923.394531 1655278949.5860
MEM 923.648438 1655278949.6952
MEM 923.648438 1655278949.8041
MEM 923.648438 1655278949.9124
MEM 923.648438 1655278950.0221
MEM 923.902344 1655278950.1311
MEM 923.902344 1655278950.2411
MEM 923.902344 1655278950.3503
MEM 923.902344 1655278950.4601
MEM 923.902344 1655278950.5703
MEM 923.902344 1655278950.6806
MEM 923.902344 1655278950.7900
MEM 923.902344 1655278950.8994
MEM 923.902344 1655278951.0077
MEM 923.902344 1655278951.1178
MEM 923.902344 1655278951.2255
MEM 923.902344 1655278951.3359
MEM 923.902344 1655278951.4467
MEM 924.164062 1655278951.5549
MEM 924.164062 1655278951.6643
MEM 924.164062 1655278951.7736
MEM 924.164062 1655278951.8831
MEM 924.164062 1655278951.9928
MEM 924.164062 1655278952.1014
MEM 924.164062 1655278952.2110
MEM 924.164062 1655278952.3208
MEM 924.164062 1655278952.4305
MEM 924.164062 1655278952.5407
MEM 924.164062 1655278952.6497
MEM 924.164062 1655278952.7590
MEM 924.164062 1655278952.8663
MEM 924.417969 1655278952.9744
MEM 924.417969 1655278953.0825
MEM 924.417969 1655278953.1902
MEM 924.417969 1655278953.3009
MEM 924.671875 1655278953.4104
MEM 924.671875 1655278953.5202
MEM 924.671875 1655278953.6294
MEM 924.671875 1655278953.7380
MEM 924.671875 1655278953.8478
MEM 924.671875 1655278953.9562
MEM 924.671875 1655278954.0646
MEM 924.671875 1655278954.1736
MEM 924.671875 1655278954.2824
MEM 924.671875 1655278954.3909
MEM 924.671875 1655278954.4999
MEM 924.671875 1655278954.6102
MEM 924.671875 1655278954.7198
MEM 924.671875 1655278954.8313
MEM 924.671875 1655278954.9406
MEM 924.671875 1655278955.0504
MEM 924.671875 1655278955.1594
MEM 924.671875 1655278955.2698
MEM 924.925781 1655278955.3787
MEM 924.925781 1655278955.4890
MEM 925.179688 1655278955.5990
MEM 925.179688 1655278955.7087
MEM 925.179688 1655278955.8182
MEM 925.179688 1655278955.9272
MEM 925.179688 1655278956.0373
MEM 925.179688 1655278956.1485
MEM 925.179688 1655278956.2592
MEM 925.179688 1655278956.3686
MEM 925.179688 1655278956.4779
MEM 925.179688 1655278956.5874
MEM 925.179688 1655278956.6968
MEM 925.179688 1655278956.8068
MEM 925.179688 1655278956.9158
MEM 925.433594 1655278957.0264
MEM 925.433594 1655278957.1338
MEM 925.433594 1655278957.2420
MEM 925.687500 1655278957.3522
MEM 925.687500 1655278957.4623
MEM 925.687500 1655278957.5711
MEM 925.687500 1655278957.6807
MEM 925.687500 1655278957.7896
MEM 925.687500 1655278957.8982
MEM 925.687500 1655278958.0081
MEM 925.687500 1655278958.1160
MEM 925.687500 1655278958.2262
MEM 925.687500 1655278958.3351
MEM 925.687500 1655278958.4443
MEM 925.687500 1655278958.5539
MEM 925.687500 1655278958.6648
MEM 925.687500 1655278958.7731
MEM 925.687500 1655278958.8825
MEM 925.687500 1655278958.9919
MEM 925.687500 1655278959.1015
MEM 925.941406 1655278959.2093
MEM 925.941406 1655278959.3191
MEM 925.941406 1655278959.4275
MEM 925.941406 1655278959.5375
MEM 925.941406 1655278959.6460
MEM 925.941406 1655278959.7556
MEM 926.195312 1655278959.8655
MEM 926.195312 1655278959.9743
MEM 926.195312 1655278960.0834
MEM 926.195312 1655278960.1918
MEM 926.195312 1655278960.3007
MEM 926.195312 1655278960.4112
MEM 926.195312 1655278960.5209
MEM 926.195312 1655278960.6291
MEM 926.195312 1655278960.7374
MEM 926.195312 1655278960.8458
MEM 926.195312 1655278960.9555
MEM 926.195312 1655278961.0637
MEM 926.449219 1655278961.1737
MEM 926.449219 1655278961.2816
MEM 926.449219 1655278961.3915
MEM 926.449219 1655278961.5014
MEM 926.449219 1655278961.6110
MEM 926.449219 1655278961.7199
MEM 926.449219 1655278961.8282
MEM 926.449219 1655278961.9360
MEM 926.449219 1655278962.0445
MEM 926.449219 1655278962.1535
MEM 926.449219 1655278962.2630
MEM 926.449219 1655278962.3722
MEM 926.449219 1655278962.4809
MEM 926.449219 1655278962.5909
MEM 926.449219 1655278962.7001
MEM 926.449219 1655278962.8112
MEM 926.449219 1655278962.9203
MEM 926.703125 1655278963.0301
MEM 926.703125 1655278963.1398
MEM 926.703125 1655278963.2495
MEM 926.957031 1655278963.3597
MEM 926.957031 1655278963.4695
MEM 927.210938 1655278963.5773
MEM 927.210938 1655278963.6870
MEM 927.210938 1655278963.7962
MEM 927.210938 1655278963.9058
MEM 927.210938 1655278964.0155
MEM 927.210938 1655278964.1248
MEM 927.210938 1655278964.2346
MEM 927.210938 1655278964.3444
MEM 927.210938 1655278964.4530
MEM 927.210938 1655278964.5624
MEM 927.210938 1655278964.6716
MEM 927.464844 1655278964.7805
MEM 927.464844 1655278964.8899
MEM 927.464844 1655278964.9990
MEM 927.464844 1655278965.1085
MEM 927.464844 1655278965.2179
MEM 927.464844 1655278965.3267
MEM 927.464844 1655278965.4346
MEM 927.464844 1655278965.5432
MEM 927.464844 1655278965.6513
MEM 927.464844 1655278965.7603
MEM 927.464844 1655278965.8703
MEM 927.464844 1655278965.9811
MEM 927.464844 1655278966.0909
MEM 927.464844 1655278966.1987
MEM 927.464844 1655278966.3063
MEM 927.464844 1655278966.4156
MEM 927.464844 1655278966.5238
MEM 927.718750 1655278966.6315
MEM 927.718750 1655278966.7425
MEM 927.718750 1655278966.8515
MEM 927.718750 1655278966.9611
MEM 927.718750 1655278967.0699
MEM 927.718750 1655278967.1792
MEM 927.718750 1655278967.2884
MEM 927.718750 1655278967.3955
MEM 927.718750 1655278967.5047
MEM 927.718750 1655278967.6144
MEM 927.718750 1655278967.7215
MEM 927.718750 1655278967.8318
MEM 927.718750 1655278967.9412
MEM 927.718750 1655278968.0490
MEM 927.718750 1655278968.1577
MEM 927.718750 1655278968.2659
MEM 927.972656 1655278968.3743
MEM 928.226562 1655278968.4822
MEM 928.226562 1655278968.5895
MEM 928.226562 1655278968.6993
MEM 928.226562 1655278968.8083
MEM 928.226562 1655278968.9151
MEM 928.226562 1655278969.0237
MEM 928.226562 1655278969.1331
MEM 928.226562 1655278969.2410
MEM 928.226562 1655278969.3495
MEM 928.480469 1655278969.4583
MEM 928.480469 1655278969.5675
MEM 928.480469 1655278969.6765
MEM 928.480469 1655278969.7846
MEM 928.480469 1655278969.8947
MEM 928.480469 1655278970.0045
MEM 928.480469 1655278970.1127
MEM 928.480469 1655278970.2219
MEM 928.734375 1655278970.3304
MEM 928.734375 1655278970.4397
MEM 928.734375 1655278970.5487
MEM 928.734375 1655278970.6575
MEM 928.734375 1655278970.7687
MEM 928.734375 1655278970.8768
MEM 928.734375 1655278970.9857
MEM 928.734375 1655278971.0940
MEM 928.734375 1655278971.2021
MEM 928.734375 1655278971.3125
MEM 928.734375 1655278971.4205
MEM 928.988281 1655278971.5282
MEM 928.988281 1655278971.6366
MEM 928.988281 1655278971.7468
MEM 928.988281 1655278971.8548
MEM 928.988281 1655278971.9651
MEM 928.988281 1655278972.0742
MEM 929.242188 1655278972.1837
MEM 929.242188 1655278972.2943
MEM 929.242188 1655278972.4039
MEM 929.242188 1655278972.5134
MEM 929.242188 1655278972.6237
MEM 929.242188 1655278972.7337
MEM 929.242188 1655278972.8424
MEM 929.242188 1655278972.9512
MEM 929.242188 1655278973.0611
MEM 929.242188 1655278973.1677
MEM 929.242188 1655278973.2765
MEM 929.242188 1655278973.3853
MEM 929.242188 1655278973.4926
MEM 929.496094 1655278973.6008
MEM 929.496094 1655278973.7114
MEM 929.496094 1655278973.8212
MEM 929.496094 1655278973.9312
MEM 929.750000 1655278974.0403
MEM 929.750000 1655278974.1483
MEM 929.750000 1655278974.2572
MEM 929.750000 1655278974.3665
MEM 929.750000 1655278974.4736
MEM 929.750000 1655278974.5826
MEM 929.750000 1655278974.6923
MEM 929.750000 1655278974.8012
MEM 929.750000 1655278974.9109
MEM 929.750000 1655278975.0192
MEM 929.750000 1655278975.1280
MEM 929.750000 1655278975.2364
MEM 929.750000 1655278975.3453
MEM 929.750000 1655278975.4542
MEM 929.750000 1655278975.5630
MEM 929.750000 1655278975.6717
MEM 929.750000 1655278975.7815
MEM 930.003906 1655278975.8914
MEM 930.003906 1655278975.9988
MEM 930.003906 1655278976.1086
MEM 930.003906 1655278976.2174
MEM 930.003906 1655278976.3263
MEM 930.003906 1655278976.4355
MEM 930.003906 1655278976.5443
MEM 930.003906 1655278976.6544
MEM 930.003906 1655278976.7629
MEM 930.003906 1655278976.8721
MEM 930.003906 1655278976.9793
MEM 930.003906 1655278977.0890
MEM 930.003906 1655278977.1977
MEM 930.003906 1655278977.3062
MEM 930.003906 1655278977.4173
MEM 930.003906 1655278977.5268
MEM 930.003906 1655278977.6365
MEM 930.257812 1655278977.7464
MEM 930.257812 1655278977.8552
MEM 930.257812 1655278977.9645
MEM 930.257812 1655278978.0743
MEM 930.257812 1655278978.1834
MEM 930.257812 1655278978.2931
MEM 930.257812 1655278978.4041
MEM 930.257812 1655278978.5132
MEM 930.257812 1655278978.6217
MEM 930.511719 1655278978.7305
MEM 930.511719 1655278978.8387
MEM 930.511719 1655278978.9468
MEM 930.511719 1655278979.0547
MEM 930.511719 1655278979.1639
MEM 930.511719 1655278979.2720
MEM 930.511719 1655278979.3801
MEM 930.511719 1655278979.4901
MEM 930.511719 1655278979.6001
MEM 930.765625 1655278979.7101
MEM 930.765625 1655278979.8161
MEM 930.765625 1655278979.9252
MEM 930.765625 1655278980.0348
MEM 930.765625 1655278980.1450
MEM 930.765625 1655278980.2549
MEM 930.765625 1655278980.3640
MEM 930.765625 1655278980.4741
MEM 930.765625 1655278980.5839
MEM 930.765625 1655278980.6928
MEM 930.765625 1655278980.8012
MEM 930.765625 1655278980.9121
MEM 930.765625 1655278981.0213
MEM 931.019531 1655278981.1310
MEM 931.019531 1655278981.2413
MEM 931.019531 1655278981.3508
MEM 931.019531 1655278981.4594
MEM 931.273438 1655278981.5680
MEM 931.273438 1655278981.6770
MEM 931.273438 1655278981.7848
MEM 931.273438 1655278981.8930
MEM 931.273438 1655278982.0008
MEM 931.273438 1655278982.1102
MEM 931.273438 1655278982.2195
MEM 931.273438 1655278982.3287
MEM 931.273438 1655278982.4373
MEM 931.273438 1655278982.5466
MEM 931.273438 1655278982.6553
MEM 931.273438 1655278982.7637
MEM 931.273438 1655278982.8734
MEM 931.273438 1655278982.9818
MEM 931.273438 1655278983.0891
MEM 931.273438 1655278983.1974
MEM 931.273438 1655278983.3052
MEM 931.527344 1655278983.4143
MEM 931.527344 1655278983.5228
MEM 931.527344 1655278983.6306
MEM 931.527344 1655278983.7397
MEM 931.527344 1655278983.8495
MEM 931.527344 1655278983.9580
MEM 931.781250 1655278984.0674
MEM 931.781250 1655278984.1746
MEM 931.781250 1655278984.2838
MEM 931.781250 1655278984.3937
MEM 931.781250 1655278984.5032
MEM 931.781250 1655278984.6127
MEM 931.781250 1655278984.7224
MEM 931.781250 1655278984.8309
MEM 931.781250 1655278984.9400
MEM 931.781250 1655278985.0516
MEM 931.781250 1655278985.1616
MEM 932.035156 1655278985.2715
MEM 932.035156 1655278985.3795
MEM 932.035156 1655278985.4891
MEM 932.035156 1655278985.5989
MEM 932.035156 1655278985.7081
MEM 932.035156 1655278985.8169
MEM 932.035156 1655278985.9251
MEM 932.035156 1655278986.0346
MEM 932.035156 1655278986.1435
MEM 932.035156 1655278986.2523
MEM 932.035156 1655278986.3604
MEM 932.035156 1655278986.4713
MEM 932.035156 1655278986.5819
MEM 932.035156 1655278986.6912
MEM 932.035156 1655278986.8019
MEM 932.035156 1655278986.9123
MEM 932.035156 1655278987.0206
MEM 932.289062 1655278987.1311
MEM 932.289062 1655278987.2409
MEM 932.289062 1655278987.3516
MEM 857.906250 1655278987.4614
MEM 828.269531 1655278987.5702
MEM 828.269531 1655278987.6795
MEM 828.269531 1655278987.7892
MEM 828.777344 1655278987.8990
MEM 828.777344 1655278988.0077
MEM 828.777344 1655278988.1174
MEM 828.777344 1655278988.2281
MEM 828.777344 1655278988.3362
MEM 828.777344 1655278988.4457
MEM 828.777344 1655278988.5545
MEM 828.777344 1655278988.6628
MEM 828.777344 1655278988.7721
MEM 828.777344 1655278988.8821
MEM 829.031250 1655278988.9926
MEM 829.031250 1655278989.1013
MEM 829.031250 1655278989.2088
MEM 829.031250 1655278989.3197
MEM 829.285156 1655278989.4295
MEM 829.285156 1655278989.5379
MEM 829.285156 1655278989.6481
MEM 829.285156 1655278989.7576
MEM 829.285156 1655278989.8677
MEM 829.285156 1655278989.9773
MEM 829.285156 1655278990.0855
MEM 829.285156 1655278990.1958
MEM 829.285156 1655278990.3060
MEM 829.285156 1655278990.4153
MEM 829.285156 1655278990.5232
MEM 829.285156 1655278990.6323
MEM 829.285156 1655278990.7426
MEM 829.285156 1655278990.8524
MEM 829.539062 1655278990.9622
MEM 829.792969 1655278991.0711
MEM 829.792969 1655278991.1800
MEM 829.792969 1655278991.2892
MEM 829.792969 1655278991.3991
MEM 829.792969 1655278991.5086
MEM 829.792969 1655278991.6173
MEM 829.792969 1655278991.7260
MEM 829.792969 1655278991.8360
MEM 829.792969 1655278991.9455
MEM 829.792969 1655278992.0545
MEM 829.792969 1655278992.1637
MEM 829.792969 1655278992.2745
MEM 829.792969 1655278992.3831
MEM 829.792969 1655278992.4913
MEM 829.792969 1655278992.6004
MEM 829.792969 1655278992.7097
MEM 830.046875 1655278992.8198
MEM 830.046875 1655278992.9287
MEM 830.046875 1655278993.0370
MEM 830.046875 1655278993.1470
MEM 830.046875 1655278993.2562
MEM 830.046875 1655278993.3642
MEM 830.046875 1655278993.4719
MEM 830.046875 1655278993.5791
MEM 830.300781 1655278993.6877
MEM 830.300781 1655278993.7958
MEM 830.300781 1655278993.9059
MEM 830.300781 1655278994.0166
MEM 830.300781 1655278994.1263
MEM 830.300781 1655278994.2362
MEM 830.300781 1655278994.3454
MEM 830.300781 1655278994.4544
MEM 830.300781 1655278994.5648
MEM 830.554688 1655278994.6742
MEM 830.554688 1655278994.7843
MEM 830.554688 1655278994.8948
MEM 830.554688 1655278995.0060
MEM 830.554688 1655278995.1155
MEM 830.554688 1655278995.2244
MEM 830.554688 1655278995.3350
MEM 830.554688 1655278995.4437
MEM 830.554688 1655278995.5524
MEM 830.554688 1655278995.6620
MEM 830.554688 1655278995.7727
MEM 830.554688 1655278995.8829
MEM 830.554688 1655278995.9932
MEM 830.554688 1655278996.1031
MEM 830.554688 1655278996.2115
MEM 830.554688 1655278996.3211
MEM 830.554688 1655278996.4305
MEM 830.554688 1655278996.5394
MEM 830.808594 1655278996.6496
MEM 830.808594 1655278996.7581
MEM 830.808594 1655278996.8678
MEM 830.808594 1655278996.9773
MEM 831.062500 1655278997.0879
MEM 831.062500 1655278997.1979
MEM 831.062500 1655278997.3088
MEM 831.062500 1655278997.4183
MEM 831.062500 1655278997.5271
MEM 831.062500 1655278997.6360
MEM 831.062500 1655278997.7451
MEM 831.062500 1655278997.8548
MEM 831.062500 1655278997.9650
MEM 831.062500 1655278998.0748
MEM 831.062500 1655278998.1849
MEM 831.062500 1655278998.2942
MEM 831.062500 1655278998.4036
MEM 831.316406 1655278998.5118
MEM 831.316406 1655278998.6212
MEM 831.316406 1655278998.7298
MEM 831.316406 1655278998.8394
